Base_SMILES,Ligand_SMILES,Solvent_SMILES,Concentration,Temp_C,yield
O=C([O-])C.[Cs+],CC[NH+]=C1[NH+]=C(P(c2ccccc2)C2CCCC2)N(C(C)C)C1(N)c1cc(-c2ccc(C)cc2)nn1-c1ccccc1,CCCCOC(C)=O,0.1016,106.8001,29.208799999999982
O=C([O-])C(C)(C)C.[Cs+],Cc1cnc(C(C)c2ccnc(CP(Cc3cccnc3)C(C)O)c2)nc1C,CC(N(C)C)=O,0.1483,104.516,29.1804
O=C([O-])C.[K+],CCP(CC)c1cn(CCOC(C)(C)C)c(N=Cc2cccc(OC)c2)n1,CC1=CC=C(C)C=C1,0.1153,107.7162,20.17110000000001
O=C([O-])C(C)(C)C.[K+],CC(NP(CF)c1ccccc1)n1cc(NP(c2ccccc2)c2ccccc2)cn1,CCCCOC(C)=O,0.0916,108.9613,15.560200000000009
O=C([O-])C.[Cs+],CN(C)c1ccccc1P(CCn1nnc(-c2ccccc2)n1)c1ccccc1,CCCC#N,0.0582,111.2057,12.876800000000005
O=C([O-])C.[K+],CCCP(c1ccccc1)c1ccc(NCc2cccc(N3CCOCC3)c2)cc1,CCCCOC(C)=O,0.1486,119.4131,11.665400000000002
O=C([O-])C(C)(C)C.[K+],CCn1cc2c(OC)nnc(P(c3ccc(OCCc4ccc(C)cc4)cc3)c3ccccc3OC)c2n1,CCCCOC(C)=O,0.1275,116.8353,8.022500000000003
O=C([O-])C(C)(C)C.[Cs+],CP(c1ccccc1NCCCN1CCOCC1)C1CCCC1,CCCC#N,0.0997,92.9661,7.389100000000002
O=C([O-])C(C)(C)C.[Cs+],FCCP(NP(c1ccccc1)c1cccc2ccccc12)c1ccccc1,CCCCOC(C)=O,0.1192,103.6283,6.9472000000000005
O=C([O-])C.[Cs+],O=C(NCC1(P(c2ccccc2)c2ccccc2)CC=CN1)Nc1ccccc1,CCCCOC(C)=O,0.133,94.5131,4.065300000000002
