Base_SMILES,Ligand_SMILES,Solvent_SMILES,Concentration,Temp_C,yield
O=C([O-])C.[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(N(C)C)=O,0.1292,104.9132,84.46809999999984
O=C([O-])C(C)(C)C.[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCC#N,0.0993,104.9619,64.32919999999997
O=C([O-])C(C)(C)C.[K+],CN(C)c1ccccc1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(N(C)C)=O,0.1037,105.4398,39.15330000000001
O=C([O-])C.[K+],CP1C2(C)CC3(C)OC(C)(CC1(c1ccccc1)O3)O2,CC(N(C)C)=O,0.1095,90.472,20.378600000000027
O=C([O-])C.[K+],c1ccc(P(CP(c2ccccc2)C2CCCCC2)c2ccccc2)cc1,CC(N(C)C)=O,0.1001,104.9985,13.055600000000005
O=C([O-])C.[K+],c1ccc(P(CP(c2ccccc2)C2CCCCC2)c2ccccc2)cc1,CC(N(C)C)=O,0.102,105.0029,13.055600000000005
O=C([O-])C.[K+],c1ccc(P(CP(c2ccccc2)C2CCCCC2)c2ccccc2)cc1,CC(N(C)C)=O,0.137,104.9277,11.349999999999996
O=C([O-])C(C)(C)C.[K+],COCc1c(F)c(F)c(F)c(-c2onc(C(C)(C)P(C(C)C)C(c3ccccc3)c3ccc(C(F)(F)F)cc3)c2C([O-])c2cc(C(F)F)ccc2[O-])c1F,CCCC#N,0.1174,90.0065,7.440300000000005
O=C([O-])C.[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCC#N,0.1322,104.2173,6.521399999999996
O=C([O-])C.[K+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CCCC#N,0.1049,104.9655,0.096
